date,Owners
2022/4/30,1228000
2022/5/1,1228000
2022/5/2,1237000
2022/5/3,1241000
2022/5/4,1249000
2022/5/5,1251000
2022/5/6,1254000
2022/5/7,1247000
2022/5/8,1248000
2022/5/9,1260000
2022/5/10,1261000
2022/5/11,1264000
2022/5/12,1266000
2022/5/13,1266000
2022/5/14,1260000
2022/5/15,1259000
2022/5/16,1269000
2022/5/17,1253000
2022/5/18,1244000
2022/5/19,1245000
2022/5/20,1246000
2022/5/21,1245000
2022/5/22,1247000
2022/5/23,1252000
2022/5/24,1258000
2022/5/25,1265000
2022/5/26,1268000
2022/5/27,1270000
2022/5/28,1272000
2022/5/29,1275000
2022/5/30,1283000
2022/5/31,1289000
2022/6/1,1294000
2022/6/2,1292000
2022/6/3,1291000
2022/6/4,1287000
2022/6/5,1287000
2022/6/6,1294000
2022/6/7,1300000
2022/6/8,1301000
2022/6/9,1306000
2022/6/10,1308000
2022/6/11,1300000
2022/6/12,1299000
2022/6/13,1308000
2022/6/14,1312000
2022/6/15,1313000
2022/6/16,1315000
2022/6/17,1318000
2022/6/18,1315000
2022/6/19,1316000
2022/6/20,1324000
2022/6/21,1326000
2022/6/22,1328000
2022/6/23,1330000
2022/6/24,1317000
2022/6/25,1311000
2022/6/26,1310000
2022/6/27,1315000
2022/6/28,1316000
2022/6/29,1320000
2022/6/30,1323000
2022/7/1,1326000
2022/7/2,1326000
2022/7/3,1330000
2022/7/4,1336000
2022/7/5,1342000
2022/7/6,1344000
2022/7/7,1345000
2022/7/8,1349000
2022/7/9,1351000
2022/7/10,1353000
2022/7/11,1362000
2022/7/12,1367000
2022/7/13,1371000
2022/7/14,1372000
2022/7/15,1374000
2022/7/16,1373000
2022/7/17,1374000
2022/7/18,1381000
2022/7/19,1382000
2022/7/20,1384000
2022/7/21,1385000
2022/7/22,1387000
2022/7/23,1386000
2022/7/24,1386000
2022/7/25,1390000
2022/7/26,1384000
2022/7/27,1380000
2022/7/28,1380000
2022/7/29,1385000
2022/7/30,1385000
2022/7/31,1383000
2022/8/1,1393000
2022/8/2,1393000
2022/8/3,1406000
2022/8/4,1406000
2022/8/5,1417000
2022/8/6,1417000
2022/8/7,1417000
2022/8/8,1425000
2022/8/9,1427000
2022/8/10,1431000
2022/8/11,1431000
2022/8/12,1431000
2022/8/13,1437000
2022/8/14,1437000
2022/8/15,1442000
2022/8/16,1444000
2022/8/17,1447000
2022/8/18,1449000
2022/8/19,1450000
2022/8/20,1448000
2022/8/21,1448000
2022/8/22,1456000
2022/8/23,1457000
2022/8/24,1459000
2022/8/25,1462000
2022/8/26,1464000
2022/8/27,1462000
2022/8/28,1462000
2022/8/29,1467000
2022/8/30,1450000
2022/8/31,1444000
2022/9/1,1444000
2022/9/2,1445000
2022/9/3,1443000
2022/9/4,1446000
2022/9/5,1452000
2022/9/6,1458000
2022/9/7,1469000
2022/9/8,1478000
2022/9/9,1482000
2022/9/10,1482000
2022/9/11,1488000
2022/9/12,1497000
2022/9/13,1501000
2022/9/14,1502000
2022/9/15,1504000
2022/9/16,1504000
2022/9/17,1504000
2022/9/18,1503000
2022/9/19,1503000
2022/9/20,1518000
2022/9/21,1519000
2022/9/22,1522000
2022/9/23,1522000
2022/9/24,1519000
2022/9/25,1522000
2022/9/26,1531000
2022/9/27,1534000
2022/9/28,1535000
2022/9/29,1537000
2022/9/30,1536000
2022/10/1,1532000
2022/10/2,1532000
2022/10/3,1539000
2022/10/4,1527000
2022/10/5,1522000
2022/10/6,1522000
2022/10/7,1520000
2022/10/8,1513000
2022/10/9,1505000
2022/10/10,1520000
2022/10/11,1532000
2022/10/12,1545000
2022/10/13,1556000
2022/10/14,1559000
2022/10/15,1559000
2022/10/16,1562000
2022/10/17,1575000
2022/10/18,1579000
2022/10/19,1583000
2022/10/20,1586000
2022/10/21,1587000
2022/10/22,1585000
2022/10/23,1590000
2022/10/24,1596000
2022/10/25,1600000
2022/10/26,1601000
2022/10/27,1601000
2022/10/28,1601000
2022/10/29,1600000
2022/10/30,1603000
2022/10/31,1607000
2022/11/1,1608000
2022/11/2,1610000
2022/11/3,1612000
2022/11/4,1613000
2022/11/5,1614000
2022/11/6,1616000
2022/11/7,1616000
2022/11/8,1611000
2022/11/9,1597000
2022/11/10,1595000
2022/11/11,1590000
2022/11/12,1579000
2022/11/13,1580000
2022/11/14,1602000
2022/11/15,1612000
2022/11/16,1629000
2022/11/17,1642000
2022/11/18,1645000
2022/11/19,1645000
2022/11/20,1656000
2022/11/21,1664000
2022/11/22,1668000
2022/11/23,1674000
2022/11/24,1674000
2022/11/25,1660000
2022/11/26,1644000
2022/11/27,1643000
2022/11/28,1672000
2022/11/29,1676000
2022/11/30,1683000
2022/12/1,1697000
2022/12/2,1702000
2022/12/3,1701000
2022/12/4,1708000
2022/12/5,1716000
2022/12/6,1710000
2022/12/7,1719000
2022/12/8,1721000
2022/12/9,1722000
2022/12/10,1726000
2022/12/11,1727000
2022/12/12,1727000
2022/12/13,1727000
2022/12/14,1726000
2022/12/15,1727000
2022/12/16,1728000
2022/12/17,1732000
2022/12/18,1734000
2022/12/19,1734000
2022/12/20,1740000
2022/12/21,1731000
2022/12/22,1731000
2022/12/23,1704000
2022/12/24,1704000
2022/12/25,1708000
2022/12/26,1713000
2022/12/27,1731000
2022/12/28,1747000
2022/12/29,1747000
2022/12/30,1757000
2022/12/31,1761000
2023/1/1,1750000
2023/1/2,1765000
2023/1/3,1783000
2023/1/4,1788000
2023/1/5,1788000
2023/1/6,1798000
2023/1/7,1799000
2023/1/8,1807000
2023/1/9,1812000
2023/1/10,1814000
2023/1/11,1817000
2023/1/12,1819000
2023/1/13,1822000
2023/1/14,1823000
2023/1/15,1826000
2023/1/16,1826000
2023/1/17,1829000
2023/1/18,1830000
2023/1/19,1832000
2023/1/20,1833000
2023/1/21,1833000
2023/1/22,1835000
2023/1/23,1837000
2023/1/24,1837000
2023/1/25,1837000
2023/1/26,1837000
2023/1/27,1837000
2023/1/28,1832000
2023/1/29,1835000
2023/1/30,1852000
2023/1/31,1859000
2023/2/1,1863000
2023/2/2,1866000
2023/2/3,1869000
2023/2/4,1870000
2023/2/5,1870000
2023/2/6,1875000
2023/2/7,1876000
2023/2/8,1880000
2023/2/9,1883000
2023/2/10,1885000
2023/2/11,1781000
2023/2/12,1781000
2023/2/13,1781000
2023/2/14,1892000
2023/2/15,1894000
2023/2/16,1895000
2023/2/17,1895000
2023/2/18,1894000
2023/2/19,1894000
2023/2/20,1899000
2023/2/21,1900000
2023/2/22,1901000
2023/2/23,1901000
2023/2/24,1902000
2023/2/25,1900000
2023/2/26,1902000
2023/2/27,1907000
2023/2/28,1909000
2023/3/1,1910000
2023/3/2,1912000
2023/3/3,1912000
2023/3/4,1912000
2023/3/5,1911000
2023/3/6,1916000
2023/3/7,1912000
2023/3/8,1907000
2023/3/9,1908000
2023/3/10,1906000
2023/3/11,1899000
2023/3/12,1898000
2023/3/13,1898000
2023/3/14,1917000
2023/3/15,1926000
2023/3/16,1931000
2023/3/17,1924000
2023/3/18,1915000
2023/3/19,1919000
2023/3/20,1919000
2023/3/21,1919000
2023/3/22,1936000
2023/3/23,1938000
2023/3/24,1942000
2023/3/25,1942000
2023/3/26,1942000
2023/3/27,1956000
2023/3/28,1963000
2023/3/29,1965000
2023/3/30,1968000
2023/3/31,1970000
2023/4/1,1970000
2023/4/2,1969000
2023/4/3,1977000
2023/4/4,1978000
2023/4/5,1981000
2023/4/6,1985000
2023/4/7,1985000
2023/4/8,1983000
