date,Owners
2022/11/22,316000
2022/11/23,371000
2022/11/24,393000
2022/11/25,409000
2022/11/26,423000
2022/11/27,438000
2022/11/28,447000
2022/11/29,447000
2022/11/30,447000
2022/12/1,462000
2022/12/2,467000
2022/12/3,475000
2022/12/4,480000
2022/12/5,484000
2022/12/6,488000
2022/12/7,495000
2022/12/8,498000
2022/12/9,500000
2022/12/10,504000
2022/12/11,507000
2022/12/12,507000
2022/12/13,509000
2022/12/14,509000
2022/12/15,509000
2022/12/16,511000
2022/12/17,515000
2022/12/18,517000
2022/12/19,517000
2022/12/20,520000
2022/12/21,522000
2022/12/22,524000
2022/12/23,527000
2022/12/24,527000
2022/12/25,538000
2022/12/26,543000
2022/12/27,550000
2022/12/28,555000
2022/12/29,562000
2022/12/30,568000
2022/12/31,568000
2023/1/1,578000
2023/1/2,584000
2023/1/3,586000
2023/1/4,589000
2023/1/5,592000
2023/1/6,594000
2023/1/7,604000
2023/1/8,604000
2023/1/9,597000
2023/1/10,596000
2023/1/11,597000
2023/1/12,597000
2023/1/13,598000
2023/1/14,609000
2023/1/15,614000
2023/1/16,607000
2023/1/17,606000
2023/1/18,606000
2023/1/19,606000
2023/1/20,612000
2023/1/21,620000
2023/1/22,631000
2023/1/23,630000
2023/1/24,630000
2023/1/25,630000
2023/1/26,630000
2023/1/27,647000
2023/1/28,656000
2023/1/29,656000
2023/1/30,655000
2023/1/31,656000
2023/2/1,657000
2023/2/2,659000
2023/2/3,660000
2023/2/4,668000
2023/2/5,673000
2023/2/6,669000
2023/2/7,669000
2023/2/8,669000
2023/2/9,671000
2023/2/10,673000
2023/2/11,672000
2023/2/12,681000
2023/2/13,681000
2023/2/14,681000
2023/2/15,684000
2023/2/16,685000
2023/2/17,687000
2023/2/18,688000
2023/2/19,690000
2023/2/20,690000
2023/2/21,695000
2023/2/22,697000
2023/2/23,699000
2023/2/24,701000
2023/2/25,700000
2023/2/26,700000
2023/2/27,706000
2023/2/28,708000
2023/3/1,710000
2023/3/2,712000
2023/3/3,713000
2023/3/4,712000
2023/3/5,714000
2023/3/6,701000
2023/3/7,701000
2023/3/8,720000
2023/3/9,721000
2023/3/10,722000
2023/3/11,722000
2023/3/12,724000
